Term,Session,Class Nbr,Acad Group,Subject,Course Number,Section,Min Units,Max Units,Enrl Stat,Class Stat,Cap Enrl,Req Rm Cap,Tot Enrl,Wait Cap,Wait Tot,Auto Enrol,Start Date,End Date,Start,End,Mtg Start,Mtg End,Mon,Tues,Wed,Thu,Fri,Sat,Sun,Building,Room,Location,Course Title,Instructor Name,Room Char,Mode
2223,1,31961,BPA,ACCT,2200,03,3.00,3.00,Open,Active,45,45,9,0,0,N,1/24/2022,5/20/2022,1,2,7:00:00 PM,8:15:00 PM,M,,W,,,,,BDC,156B,BKSFLD,Financial Reporting & Acct,,32,P
2223,1,32042,BPA,ACCT,2200,04,3.00,3.00,Open,Active,45,45,8,0,0,N,1/24/2022,5/20/2022,1,2,7:00:00 PM,8:15:00 PM,,T,,R,,,,DDH,103H,BKSFLD,Financial Reporting & Acct,,32,P
2223,1,31970,BPA,ACCT,3010,30,3.00,3.00,Open,Active,45,45,4,0,0,N,1/24/2022,5/20/2022,1,2,7:00:00 PM,8:15:00 PM,M,,W,,,,,CSUB-AV,119,AV,Intermediate Accounting II,,32,P
2223,1,31635,A&H,ART,3310,01,3.00,3.00,Closed,Active,15,15,15,15,7,Y,1/24/2022,5/20/2022,1,1,10:00:00 AM,10:50:00 AM,M,,W,,,,,VA,101,BKSFLD,Ceramics,,32,P
2223,1,31647,A&H,ART,3310,02,3.00,3.00,Closed,Active,15,15,15,15,7,Y,1/24/2022,5/20/2022,1,1,10:51:00 AM,12:05:00 PM,M,,W,,,,,VA,101,BKSFLD,Ceramics,,32,P
2223,1,31650,A&H,ART,3310,03,3.00,3.00,Closed,Active,15,15,15,15,1,Y,1/24/2022,5/20/2022,1,1,1:00:00 PM,1:50:00 PM,M,,W,,,,,VA,101,BKSFLD,Ceramics,,32,P
2223,1,31652,A&H,ART,3310,04,3.00,3.00,Closed,Active,15,15,15,15,1,Y,1/24/2022,5/20/2022,1,1,1:51:00 PM,3:05:00 PM,M,,W,,,,,VA,101,BKSFLD,Ceramics,,32,P
2223,1,31921,BPA,BA,1008,06,3.00,3.00,Closed,Cancelled,45,45,0,0,0,N,,,,,,,?,?,?,?,?,?,?,,,BKSFLD,Perspectives in Business,,32,P
2223,1,31930,BPA,BA,2900,01,1.00,1.00,Open,Active,45,45,12,0,0,N,1/24/2022,5/20/2022,0,0,9:00:00 AM,9:50:00 AM,M,,,,,,,DDH,103E,BKSFLD,Intro to Business Professions,,32,P
2223,1,31931,BPA,BA,2900,02,1.00,1.00,Open,Active,45,45,13,0,0,N,1/24/2022,5/20/2022,1,1,5:30:00 PM,6:20:00 PM,,,W,,,,,DDH,105H,BKSFLD,Intro to Business Professions,,32,P
2223,1,32294,SS&E,CAFS,1100,60,3.00,3.00,Open,Active,45,45,19,25,0,Y,1/24/2022,5/20/2022,0,0,8:30:00 AM,9:45:00 AM,,T,,R,,,,WEB,ON-LINE,BKSFLD,Intro to Child Adol & Fam Stud,,96,OL
2223,1,32295,SS&E,CAFS,1100,61,3.00,3.00,Closed,Active,45,45,45,25,0,Y,1/24/2022,5/20/2022,,,,,,,,,,,,WEB,ON-LINE,BKSFLD,Intro to Child Adol & Fam Stud,,96,OL
2223,1,32296,SS&E,CAFS,1100,70,3.00,3.00,Closed,Active,30,30,30,15,0,Y,1/24/2022,5/20/2022,,,,,,,,,,,,WEB,ON-LINE,BKSFLD,Intro to Child Adol & Fam Stud,,96,OL
2223,1,32297,SS&E,CAFS,1100,75,3.00,3.00,Open,Active,15,15,14,15,0,Y,1/24/2022,5/20/2022,,,,,,,,,,,,WEB,ON-LINE,AV,Intro to Child Adol & Fam Stud,,96,OL
2223,1,32303,SS&E,CAFS,2080,60,3.00,3.00,Closed,Active,45,45,45,25,13,Y,1/24/2022,5/20/2022,,,,,,,,,,,,WEB,ON-LINE,BKSFLD,"Child, Family, and Community",,96,OL
2223,1,32305,SS&E,CAFS,2200,60,3.00,3.00,Open,Active,45,45,14,25,0,Y,1/24/2022,5/20/2022,1,2,6:00:00 PM,8:30:00 PM,,T,,,,,,WEB,ON-LINE,BKSFLD,Curr/Proced/Lab Exper for Chld,,96,OL
2223,1,32306,SS&E,CAFS,2300,60,3.00,3.00,Open,Active,45,45,22,25,0,Y,1/24/2022,5/20/2022,,,,,,,,,,,,WEB,ON-LINE,BKSFLD,Curr/Proced/Lab Exp in El Schl,,96,OL
2223,1,32309,SS&E,CAFS,2500,60,3.00,3.00,Closed,Active,45,45,45,25,0,Y,1/24/2022,5/20/2022,,,,,,,,,,,,WEB,ON-LINE,BKSFLD,Child Health/Safety/Nutrition,,96,OL
2223,1,32312,SS&E,CAFS,2800,60,3.00,3.00,Open,Active,45,45,13,25,0,Y,1/24/2022,5/20/2022,1,2,5:30:00 PM,8:00:00 PM,,,,R,,,,WEB,ON-LINE,BKSFLD,Multicultural Children's Lit,,96,OL
2223,1,32319,SS&E,CAFS,3140,60,3.00,3.00,Closed,Active,45,45,45,25,5,Y,1/24/2022,5/20/2022,,,,,,,,,,,,WEB,ON-LINE,BKSFLD,School Aged and Adolescent,,96,OL
