,Class Nbr,Tot Enrl,Start Date,End Date,Mtg Start,Mtg End,Mon,Tues,Wed,Thu,Fri,Sat,Sun,Building,Location
0,31131,42,1/23/2023,5/19/2023,  2:30:00 PM , 3:45:00 PM,M,,W,,,,,DLC,BKSFLD
1,31147,43,1/23/2023,5/19/2023, 1:00:00 PM, 2:15:00 PM,,T,,R,,,,BDC,BKSFLD
2,31142,41,1/23/2023,5/19/2023, 5:30:00 PM, 6:45:00 PM,M,,W,,,,,BDC,BKSFLD
3,31216,22,1/23/2023,5/19/2023, 7:00:00 PM, 8:15:00 PM,,T,,R,,,,EDUC,BKSFLD
5,31130,17,1/23/2023,5/19/2023, 5:30:00 PM, 6:45:00 PM,M,,W,,,,,DDH,BKSFLD
6,31137,45,1/23/2023,5/19/2023, 4:00:00 PM, 5:15:00 PM,M,,,,,,,BDC,BKSFLD
8,31146,35,1/23/2023,5/19/2023,11:30:00 AM,12:45:00 PM,,T,,,,,,DDH,BKSFLD
12,31144,21,1/23/2023,5/19/2023, 7:00:00 PM, 8:15:00 PM,M,,W,,,,,DDH,BKSFLD
13,31212,40,1/23/2023,5/19/2023, 1:00:00 PM, 2:15:00 PM,M,,W,,,,,BDC,BKSFLD
14,31132,11,1/23/2023,5/19/2023, 7:00:00 PM, 8:15:00 PM,M,,W,,,,,WSL,BKSFLD
16,31152,36,1/23/2023,5/19/2023, 2:30:00 PM, 3:45:00 PM,,T,,,,,,DDH,BKSFLD
18,31143,15,1/23/2023,5/19/2023, 5:30:00 PM, 6:45:00 PM,M,,W,,,,,MUS,BKSFLD
20,31145,23,1/23/2023,5/19/2023, 2:30:00 PM, 3:45:00 PM,M,,W,,,,,BDC,BKSFLD
21,31161,10,1/23/2023,5/19/2023, 5:30:00 PM, 6:45:00 PM,,T,,R,,,,WSL,BKSFLD
23,31150,31,1/23/2023,5/19/2023, 2:30:00 PM, 3:45:00 PM,,T,,,,,,DDH,BKSFLD
27,31155,10,1/23/2023,5/19/2023, 4:00:00 PM, 5:15:00 PM,,T,,R,,,,WSL,BKSFLD
29,31151,41,1/23/2023,5/19/2023, 1:00:00 PM, 2:15:00 PM,,T,,,,,,DDH,BKSFLD
33,31141,16,1/23/2023,5/19/2023, 5:30:00 PM, 6:45:00 PM,M,,W,,,,,DDH,BKSFLD
34,31157,19,1/23/2023,5/19/2023, 4:00:00 PM, 5:15:00 PM,,T,,R,,,,DDH,BKSFLD
36,31148,16,1/23/2023,5/19/2023, 1:00:00 PM, 2:15:00 PM,,T,,R,,,,SCI III,BKSFLD
37,31213,25,1/23/2023,5/19/2023, 5:30:00 PM, 6:45:00 PM,,T,,R,,,,DLC,BKSFLD
40,31092,7,1/23/2023,5/19/2023, 7:00:00 PM, 8:15:00 PM,,T,,R,,,,WSL,BKSFLD
47,31090,1,1/23/2023,5/19/2023, 7:00:00 PM, 8:15:00 PM,,T,,R,,,,WSL,BKSFLD
55,31027,28,1/23/2023,5/19/2023, 5:30:00 PM, 6:45:00 PM,,T,,R,,,,BDC,BKSFLD
56,33342,6,1/23/2023,5/19/2023, 4:00:00 PM, 6:45:00 PM,M,,,,,,,EDUC,BKSFLD
60,31025,30,1/23/2023,5/19/2023, 7:00:00 PM, 9:45:00 PM,M,,,,,,,EDUC,BKSFLD
61,31026,19,1/23/2023,5/19/2023, 5:30:00 PM, 8:15:00 PM,,,W,,,,,MUS,BKSFLD
77,33605,14,1/23/2023,3/19/2023,12:30:00 PM, 4:15:00 PM,M,,W,,,,,EXTU,EUD
79,33609,13,3/20/2023,5/19/2023,12:30:00 PM, 4:15:00 PM,M,,W,,,,,EXTU,EUD
102,32036,23,1/23/2023,5/19/2023, 2:30:00 PM, 3:45:00 PM,M,,,,,,,EDUC,BKSFLD
106,32029,7,1/23/2023,5/19/2023,12:00:00 PM, 1:15:00 PM,M,,,,,,,DDH,BKSFLD
110,31325,34,1/23/2023,5/19/2023,10:00:00 AM,10:50:00 AM,M,,W,,,,,FA,BKSFLD
111,31335,34,1/23/2023,5/19/2023,10:51:00 AM,11:40:00 AM,M,,W,,,,,FA,BKSFLD
112,31337,36,1/23/2023,5/19/2023, 1:00:00 PM, 1:50:00 PM,M,,W,,,,,FA,BKSFLD
113,31339,36,1/23/2023,5/19/2023, 1:51:00 PM, 2:40:00 PM,M,,W,,,,,FA,BKSFLD
114,31343,16,1/23/2023,5/19/2023, 3:00:00 PM, 3:50:00 PM,M,,W,,,,,FA,BKSFLD
115,31345,16,1/23/2023,5/19/2023, 3:51:00 PM, 4:40:00 PM,M,,W,,,,,FA,BKSFLD
116,31349,36,1/23/2023,5/19/2023, 8:00:00 AM, 8:50:00 AM,,T,,R,,,,FA,BKSFLD
117,31350,36,1/23/2023,5/19/2023, 8:51:00 AM, 9:40:00 AM,,T,,R,,,,FA,BKSFLD
118,31351,36,1/23/2023,5/19/2023, 1:00:00 PM, 1:50:00 PM,,T,,R,,,,FA,BKSFLD
119,31352,36,1/23/2023,5/19/2023, 1:51:00 PM, 2:40:00 PM,,T,,R,,,,FA,BKSFLD
127,31381,19,1/23/2023,5/19/2023,10:00:00 AM,10:50:00 AM,,,,,F,,,VA,BKSFLD
128,31382,19,1/23/2023,5/19/2023,10:51:00 AM, 2:10:00 PM,,,,,F,,,VA,BKSFLD
129,31383,20,1/23/2023,5/19/2023,10:00:00 AM,10:50:00 AM,,T,,R,,,,VA,BKSFLD
130,31384,20,1/23/2023,5/19/2023,10:51:00 AM,12:06:00 PM,,T,,R,,,,VA,BKSFLD
131,31393,16,1/23/2023,5/19/2023,10:00:00 AM,10:50:00 AM,,T,,R,,,,VA,BKSFLD
132,31394,16,1/23/2023,5/19/2023,10:51:00 AM,12:06:00 PM,,T,,R,,,,VA,BKSFLD
140,31503,17,1/23/2023,5/19/2023, 1:00:00 PM, 1:50:00 PM,M,,,,,,,VA,BKSFLD
141,31504,17,1/23/2023,5/19/2023, 1:51:00 PM, 5:10:00 PM,M,,,,,,,VA,BKSFLD
144,31507,12,1/23/2023,5/19/2023, 1:00:00 PM, 1:50:00 PM,,T,,,,,,VA,BKSFLD
145,31508,12,1/23/2023,5/19/2023, 1:51:00 PM, 5:10:00 PM,,T,,,,,,VA,BKSFLD
146,31509,13,1/23/2023,5/19/2023, 1:00:00 PM, 1:50:00 PM,,T,,R,,,,VA,BKSFLD
147,31510,13,1/23/2023,5/19/2023, 1:51:00 PM, 3:06:00 PM,,T,,R,,,,VA,BKSFLD
148,31511,13,1/23/2023,5/19/2023,10:00:00 AM,10:50:00 AM,M,,W,,,,,VA,BKSFLD
149,31512,13,1/23/2023,5/19/2023,10:51:00 AM,12:06:00 PM,M,,W,,,,,VA,BKSFLD
150,31513,13,1/23/2023,5/19/2023, 1:00:00 PM, 1:50:00 PM,M,,W,,,,,VA,BKSFLD
151,31514,13,1/23/2023,5/19/2023, 1:51:00 PM, 3:06:00 PM,M,,W,,,,,VA,BKSFLD
160,31600,15,1/23/2023,5/19/2023, 1:00:00 PM, 1:50:00 PM,,,,R,,,,VA,BKSFLD
161,31601,15,1/23/2023,5/19/2023, 1:51:00 PM, 5:10:00 PM,,,,R,,,,VA,BKSFLD
162,31623,10,1/23/2023,5/19/2023,10:00:00 AM,10:50:00 AM,,,,,F,,,VA,BKSFLD
163,31624,10,1/23/2023,5/19/2023,10:51:00 AM, 2:10:00 PM,,,,,F,,,VA,BKSFLD
164,31631,11,1/23/2023,5/19/2023,10:00:00 AM,10:50:00 AM,,,,,F,,,VA,BKSFLD
165,31632,11,1/23/2023,5/19/2023,10:51:00 AM, 2:10:00 PM,,,,,F,,,VA,BKSFLD
166,31650,16,1/23/2023,5/19/2023, 1:51:00 PM, 5:10:00 PM,,,W,,,,,VA,BKSFLD
167,32657,13,1/23/2023,5/19/2023, 1:00:00 PM, 1:50:00 PM,,,,R,,,,VA,BKSFLD
168,32658,13,1/23/2023,5/19/2023, 1:51:00 PM, 5:10:00 PM,,,,R,,,,VA,BKSFLD
169,31649,16,1/23/2023,5/19/2023, 1:00:00 PM, 1:50:00 PM,,,W,,,,,VA,BKSFLD
172,31651,15,1/23/2023,5/19/2023, 7:50:00 AM, 8:40:00 AM,,T,,R,,,,VA,BKSFLD
173,31652,15,1/23/2023,5/19/2023, 8:41:00 AM, 9:56:00 AM,,T,,R,,,,VA,BKSFLD
190,31031,38,1/23/2023,5/19/2023, 9:00:00 AM, 9:50:00 AM,M,,W,,F,,,BDC,BKSFLD
191,31032,39,1/23/2023,5/19/2023, 7:00:00 PM, 8:15:00 PM,M,,W,,,,,BDC,BKSFLD
192,31033,40,1/23/2023,5/19/2023, 8:30:00 AM, 9:45:00 AM,,T,,R,,,,BDC,BKSFLD
193,31034,39,1/23/2023,5/19/2023,11:30:00 AM,12:45:00 PM,,T,,R,,,,BDC,BKSFLD
196,31035,40,1/23/2023,5/19/2023, 5:30:00 PM, 6:45:00 PM,M,,W,,,,,HUM,BKSFLD
199,31037,39,1/23/2023,5/19/2023, 1:00:00 PM, 1:50:00 PM,M,,,,,,,SCI II,BKSFLD
200,31038,39,1/23/2023,5/19/2023, 2:30:00 PM, 3:20:00 PM,M,,,,,,,BDC,BKSFLD
201,31039,37,1/23/2023,5/19/2023, 2:30:00 PM, 3:20:00 PM,,,W,,,,,BDC,BKSFLD
202,31040,15,1/23/2023,5/19/2023, 7:00:00 PM, 7:50:00 PM,,T,,,,,,WSL,BKSFLD
205,31043,40,1/23/2023,5/19/2023,11:00:00 AM,11:50:00 AM,M,,W,,F,,,BDC,BKSFLD
206,31044,40,1/23/2023,5/19/2023,10:00:00 AM,11:15:00 AM,,T,,R,,,,BDC,BKSFLD
207,31045,39,1/23/2023,5/19/2023, 2:30:00 PM, 3:45:00 PM,,T,,R,,,,BDC,BKSFLD
208,31046,37,1/23/2023,5/19/2023, 7:00:00 PM, 8:15:00 PM,,T,,R,,,,BDC,BKSFLD
209,31047,10,1/23/2023,5/19/2023, 7:00:00 PM, 8:15:00 PM,M,,W,,,,,WSL,BKSFLD
211,31169,37,1/23/2023,5/19/2023, 7:00:00 PM, 8:15:00 PM,M,,W,,,,,BDC,BKSFLD
212,31165,40,1/23/2023,5/19/2023,10:00:00 AM,11:15:00 AM,,T,,R,,,,BDC,BKSFLD
213,31166,40,1/23/2023,5/19/2023,11:30:00 AM,12:45:00 PM,,T,,R,,,,BDC,BKSFLD
214,31167,35,1/23/2023,5/19/2023, 4:00:00 PM, 5:15:00 PM,,T,,R,,,,BDC,BKSFLD
215,31168,24,1/23/2023,5/19/2023, 8:30:00 PM, 9:45:00 PM,,T,,R,,,,WSL,BKSFLD
219,31170,34,1/23/2023,5/19/2023, 2:30:00 PM, 3:45:00 PM,M,,W,,,,,BDC,BKSFLD
220,31171,35,1/23/2023,5/19/2023, 5:30:00 PM, 6:45:00 PM,M,,W,,,,,SCI III,BKSFLD
222,31173,35,1/23/2023,5/19/2023,11:30:00 AM,12:45:00 PM,,T,,R,,,,BDC,BKSFLD
223,31174,34,1/23/2023,5/19/2023, 5:30:00 PM, 6:45:00 PM,,T,,R,,,,SCI III,BKSFLD
232,33042,5,1/23/2023,5/19/2023, 6:00:00 PM, 8:30:00 PM,,,,,F,,,BDC,BKSFLD
234,31077,13,1/23/2023,5/19/2023, 5:30:00 PM, 6:45:00 PM,,T,,R,,,,RNEC,BKSFLD
239,33170,17,1/23/2023,3/19/2023, 6:00:00 PM, 7:30:00 PM,M,,W,,,,,WSL,EBKS
240,33179,20,3/20/2023,5/19/2023, 6:00:00 PM, 9:00:00 PM,,T,,R,,,,EXTU,EBKS
241,33180,15,3/20/2023,5/19/2023, 7:00:00 PM,10:00:00 PM,M,,,,,,,SCI III,EBKS
245,33176,14,1/23/2023,3/19/2023, 6:00:00 PM, 9:00:00 PM,,T,,R,,,,EDUC,EBKS
246,33177,17,1/23/2023,3/19/2023, 6:00:00 PM, 9:00:00 PM,M,,W,,,,,EXTU,EBKS
247,33182,3,1/23/2023,5/19/2023, 6:00:00 PM, 9:00:00 PM,,T,,,,,,SCI II,EBKS
248,33178,21,1/23/2023,3/19/2023, 6:00:00 PM,10:00:00 PM,,,,R,,,,EXTU,EBKS
249,33181,17,3/20/2023,5/19/2023, 6:00:00 PM, 9:00:00 PM,M,,W,,,,,EXTU,EBKS
250,32707,97,1/23/2023,5/19/2023, 9:00:00 AM, 9:50:00 AM,M,,W,,,,,BDC,BKSFLD
251,32708,25,1/23/2023,5/19/2023,10:00:00 AM,12:30:00 PM,M,,,,,,,SCI I,BKSFLD
252,32709,24,1/23/2023,5/19/2023, 1:00:00 PM, 3:30:00 PM,,,W,,,,,SCI I,BKSFLD
253,32710,24,1/23/2023,5/19/2023, 1:00:00 PM, 3:30:00 PM,,T,,,,,,SCI I,BKSFLD
254,32711,24,1/23/2023,5/19/2023, 1:00:00 PM, 3:30:00 PM,,,,R,,,,SCI I,BKSFLD
256,32713,93,1/23/2023,5/19/2023,10:00:00 AM,10:50:00 AM,M,,W,,,,,BDC,BKSFLD
257,32714,23,1/23/2023,5/19/2023,10:00:00 AM,12:30:00 PM,,T,,,,,,SCI I,BKSFLD
258,32715,24,1/23/2023,5/19/2023,10:00:00 AM,12:30:00 PM,,,,R,,,,SCI I,BKSFLD
259,32716,24,1/23/2023,5/19/2023, 1:00:00 PM, 3:30:00 PM,M,,,,,,,SCI I,BKSFLD
261,32718,22,1/23/2023,5/19/2023, 4:00:00 PM, 6:30:00 PM,,,W,,,,,SCI I,BKSFLD
262,32719,27,1/23/2023,5/19/2023, 5:30:00 PM, 6:20:00 PM,,T,,R,,,,SCI III,BKSFLD
263,32720,17,1/23/2023,5/19/2023, 1:00:00 PM, 3:30:00 PM,,T,,,,,,SCI I,BKSFLD
265,32722,10,1/23/2023,5/19/2023, 1:00:00 PM, 3:30:00 PM,,,W,,,,,SCI I,BKSFLD
269,32724,44,1/23/2023,5/19/2023, 4:00:00 PM, 5:15:00 PM,M,,W,,,,,SCI III,BKSFLD
271,32726,15,1/23/2023,5/19/2023, 1:00:00 PM, 3:30:00 PM,M,,,,,,,SCI I,BKSFLD
272,32727,17,1/23/2023,5/19/2023,10:00:00 AM,12:30:00 PM,,T,,,,,,SCI I,BKSFLD
273,32728,12,1/23/2023,5/19/2023, 1:00:00 PM, 3:30:00 PM,,,,R,,,,SCI I,BKSFLD
274,32729,71,1/23/2023,5/19/2023,10:00:00 AM,11:15:00 AM,,T,,R,,,,SCI III,BKSFLD
275,32730,23,1/23/2023,5/19/2023, 4:00:00 PM, 6:30:00 PM,,,W,,,,,SCI I,BKSFLD
276,32731,24,1/23/2023,5/19/2023,10:00:00 AM,12:30:00 PM,,,W,,,,,SCI I,BKSFLD
277,32732,24,1/23/2023,5/19/2023, 1:00:00 PM, 3:30:00 PM,,,W,,,,,SCI I,BKSFLD
278,32733,52,1/23/2023,5/19/2023, 4:00:00 PM, 5:15:00 PM,M,,W,,,,,HUM,BKSFLD
279,32734,14,1/23/2023,5/19/2023, 5:30:00 PM, 8:00:00 PM,M,,,,,,,SCI I,BKSFLD
280,32735,22,1/23/2023,5/19/2023, 1:00:00 PM, 3:30:00 PM,,T,,,,,,SCI I,BKSFLD
281,32736,16,1/23/2023,5/19/2023, 5:30:00 PM, 8:00:00 PM,,,W,,,,,SCI I,BKSFLD
282,32737,62,1/23/2023,5/19/2023, 2:30:00 PM, 3:45:00 PM,M,,W,,,,,SCI II,BKSFLD
283,32738,24,1/23/2023,5/19/2023,10:00:00 AM,12:30:00 PM,M,,,,,,,SCI I,BKSFLD
284,32739,14,1/23/2023,5/19/2023, 4:00:00 PM, 6:30:00 PM,,,,R,,,,SCI I,BKSFLD
285,32740,24,1/23/2023,5/19/2023, 4:00:00 PM, 6:30:00 PM,M,,,,,,,SCI I,BKSFLD
288,32741,112,1/23/2023,5/19/2023, 1:00:00 PM, 2:15:00 PM,,T,,R,,,,BDC,BKSFLD
289,32742,23,1/23/2023,5/19/2023,10:00:00 AM,12:30:00 PM,M,,,,,,,SCI I,BKSFLD
290,32743,24,1/23/2023,5/19/2023, 1:00:00 PM, 3:30:00 PM,M,,,,,,,SCI I,BKSFLD
291,32744,20,1/23/2023,5/19/2023,10:00:00 AM,12:30:00 PM,,,W,,,,,SCI I,BKSFLD
292,32745,23,1/23/2023,5/19/2023, 1:00:00 PM, 3:30:00 PM,,,W,,,,,SCI I,BKSFLD
293,32746,22,1/23/2023,5/19/2023, 4:00:00 PM, 6:30:00 PM,,,W,,,,,SCI I,BKSFLD
294,32747,22,1/23/2023,5/19/2023, 4:00:00 PM, 5:15:00 PM,,T,,R,,,,SCI III,BKSFLD
295,32748,8,1/23/2023,5/19/2023,10:00:00 AM,12:30:00 PM,,T,,,,,,SCI I,BKSFLD
298,32753,14,1/23/2023,5/19/2023, 1:00:00 PM, 3:30:00 PM,,,,R,,,,SCI I,BKSFLD
304,32755,91,1/23/2023,5/19/2023,11:30:00 AM,12:45:00 PM,,T,,R,,,,HUM,BKSFLD
305,32757,22,1/23/2023,5/19/2023,10:00:00 AM,12:30:00 PM,M,,,,,,,SCI I,BKSFLD
306,32758,24,1/23/2023,5/19/2023,10:00:00 AM,12:30:00 PM,,,W,,,,,SCI I,BKSFLD
307,32759,22,1/23/2023,5/19/2023, 4:00:00 PM, 6:30:00 PM,,,W,,,,,SCI I,BKSFLD
308,32761,23,1/23/2023,5/19/2023, 1:00:00 PM, 3:30:00 PM,,T,,,,,,SCI I,BKSFLD
309,32762,67,1/23/2023,5/19/2023, 4:00:00 PM, 5:15:00 PM,M,,W,,,,,HUM,BKSFLD
311,32767,23,1/23/2023,5/19/2023,10:00:00 AM,12:30:00 PM,,T,,,,,,SCI I,BKSFLD
312,32768,21,1/23/2023,5/19/2023, 1:00:00 PM, 3:30:00 PM,,,W,,,,,SCI I,BKSFLD
313,32769,23,1/23/2023,5/19/2023, 1:00:00 PM, 3:30:00 PM,,,,R,,,,SCI I,BKSFLD
316,32770,116,1/23/2023,5/19/2023,11:00:00 AM,12:15:00 PM,M,,W,,,,,BDC,BKSFLD
317,32771,23,1/23/2023,5/19/2023,10:00:00 AM,12:30:00 PM,,T,,,,,,SCI I,BKSFLD
318,32772,25,1/23/2023,5/19/2023, 1:00:00 PM, 3:30:00 PM,,,W,,,,,SCI I,BKSFLD
319,32775,24,1/23/2023,5/19/2023, 1:00:00 PM, 3:30:00 PM,,T,,,,,,SCI I,BKSFLD
320,32777,23,1/23/2023,5/19/2023, 4:00:00 PM, 6:30:00 PM,,T,,,,,,SCI I,BKSFLD
321,32778,21,1/23/2023,5/19/2023,10:00:00 AM,12:30:00 PM,,,,R,,,,SCI I,BKSFLD
324,32780,30,1/23/2023,5/19/2023,11:00:00 AM,11:50:00 AM,M,,W,,,,,SCI III,BKSFLD
